list_name,name,label,cfac_code,Province,District,Province_code,District_code,CFAC_Name,ao
village_list,AF3012_Sarbaghni_Sar Baghni Shahzada Masjid,Sar Baghni Shahzada Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF2501_Hotak Charmistan_Sar Baghni Shakor Masjid,Sar Baghni Shakor Masjid,AF2501_Hotak Charmistan,Uruzgan,Tarinkot,AF25,AF2501,Hotak Charmistan,KANAO
village_list,AF3012_Sarbaghni_Sar Baghni Shakor Masjid,Sar Baghni Shakor Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF3012_Sarbaghni_Sar Baghni Sidgul Masjid,Sar Baghni Sidgul Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF3012_Sarbaghni_Sar Baghni Sifal Masjid,Sar Baghni Sifal Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF3012_Sarbaghni_Sar Baghni Soor Gul Masjid,Sar Baghni Soor Gul Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF2505_Matakzai_Sar Baghni Sultan Mohammad Masjed,Sar Baghni Sultan Mohammad Masjed,AF2505_Matakzai,Uruzgan,Khas Uruzgan,AF25,AF2505,Matakzai,KANAO
village_list,AF3012_Sarbaghni_Sar Baghni Sultan Mohammad Masjed,Sar Baghni Sultan Mohammad Masjed,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF3012_Sarbaghni_Sar Baghni Taj Mir Masjid,Sar Baghni Taj Mir Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF3012_Sarbaghni_Sar Baghni Tajmir Masjid,Sar Baghni Tajmir Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF3012_Khod_Sar Baghni Wayalk Haji Khodaidad Masjid,Sar Baghni Wayalk Haji Khodaidad Masjid,AF3012_Khod,Hilmand,Baghran,AF30,AF3012,Khod,KANAO
village_list,AF2505_Qadam Shali_Sar Baghni Zaqom Masjid,Sar Baghni Zaqom Masjid,AF2505_Qadam Shali,Uruzgan,Khas Uruzgan,AF25,AF2505,Qadam Shali,KANAO
village_list,AF3012_Sarbaghni_Sar Baghni Zaqom Masjid,Sar Baghni Zaqom Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF3012_Sarbaghni_Sar Baghni Zmari Masjid,Sar Baghni Zmari Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF2506_Langar Shenyah_Sar Baghniabdulrahman Masjid,Sar Baghniabdulrahman Masjid,AF2506_Langar Shenyah,Uruzgan,Chinarto,AF25,AF2506,Langar Shenyah,KANAO
village_list,AF3012_Sarbaghni_Sar Baghniabdulrahman Masjid,Sar Baghniabdulrahman Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF2505_Matakzai_Sar Baghran Sayed Aka Masjid,Sar Baghran Sayed Aka Masjid,AF2505_Matakzai,Uruzgan,Khas Uruzgan,AF25,AF2505,Matakzai,KANAO
village_list,AF3012_Sarbaghni_Sar Baghran Sayed Aka Masjid,Sar Baghran Sayed Aka Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF3012_Bashlang_Sar Bashlang,Sar Bashlang,AF3012_Bashlang,Hilmand,Baghran,AF30,AF3012,Bashlang,KANAO
village_list,AF2501_Kata Khanjak_Sar Bashlang,Sar Bashlang,AF2501_Kata Khanjak,Uruzgan,Tarinkot,AF25,AF2501,Kata khanjak,KANAO
village_list,AF3012_Sarbaghni_Sar Bghni Badar Masjid,Sar Bghni Badar Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF3012_Sarbaghni_Sar Bghni Barani Masjid,Sar Bghni Barani Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF3012_Sarbaghni_Sar Bghni Dactr Masjid,Sar Bghni Dactr Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF3012_Sarbaghni_Sar Bghni Mohammad Akbar Masjid,Sar Bghni Mohammad Akbar Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF3012_Sarbaghni_Sar Bghni Sadiq Masjid,Sar Bghni Sadiq Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF2605_Sorkh Sang_Sar Kalai,Sar Kalai,AF2605_Sorkh Sang,Zabul,Arghandab,AF26,AF2605,Sorkh Sang,KANAO
village_list,AF2607_Mara_Sar Kaly,Sar Kaly,AF2607_Mara,Zabul,Daychopan,AF26,AF2607,Mara,KANAO
village_list,AF2713_Zamto_Sar Nawa,Sar Nawa,AF2713_Zamto,Kandahar,Miyanshin,AF27,AF2713,Zamto,KANAO
